rating_id,customer_id,product_id,transaction_id,rating,review_text,rating_date
RATING_00000001,CUST_002765,PROD_000484,TXN_00007949,3.5,Không hài lòng với chất lượng,2025-10-06 22:42:04
RATING_00000002,CUST_001486,PROD_001700,TXN_00016429,4.3,"Chất lượng ổn, đúng như mô tả",2025-10-06 22:42:09
RATING_00000003,CUST_000896,PROD_001468,TXN_00005376,4.2,"Tạm được, có vài điểm cần cải thiện",2025-10-15 22:42:03
RATING_00000004,CUST_004492,PROD_001539,TXN_00040829,4.9,"Đáng tiền, sẽ mua lại lần sau",2025-10-17 22:42:21
RATING_00000005,CUST_004550,PROD_000065,TXN_00015871,2.3,"Sản phẩm có vấn đề, cần cải thiện",2025-09-01 22:42:08
RATING_00000006,CUST_001270,PROD_001469,TXN_00000437,3.4,"Sản phẩm có vấn đề, cần cải thiện",2025-10-10 22:41:59
RATING_00000007,CUST_000657,PROD_000685,TXN_00039513,4.0,"Sản phẩm bình thường, có thể cân nhắc",2025-10-04 22:42:20
RATING_00000008,CUST_000064,PROD_001723,TXN_00040023,4.9,Chất lượng vượt mong đợi,2025-10-01 22:42:21
RATING_00000009,CUST_003482,PROD_001670,TXN_00040134,3.9,"Tạm được, có vài điểm cần cải thiện",2025-09-28 22:42:21
RATING_00000010,CUST_003826,PROD_000525,TXN_00034160,4.2,"Tạm được, có vài điểm cần cải thiện",2025-08-12 22:42:18
RATING_00000011,CUST_004428,PROD_000089,TXN_00040083,4.4,"Tạm được, có vài điểm cần cải thiện",2025-05-16 22:42:21
RATING_00000012,CUST_001459,PROD_001489,TXN_00046222,4.7,Chất lượng vượt mong đợi,2025-08-23 22:42:24
RATING_00000013,CUST_001131,PROD_001546,TXN_00030474,3.4,"Sản phẩm có vấn đề, cần cải thiện",2025-10-15 22:42:16
RATING_00000014,CUST_003896,PROD_000442,TXN_00010896,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-17 22:42:06
RATING_00000015,CUST_003106,PROD_000720,TXN_00032879,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-20 22:42:17
RATING_00000016,CUST_003482,PROD_001572,TXN_00029020,4.2,"Sản phẩm khá tốt, giá hợp lý",2025-09-09 22:42:15
RATING_00000017,CUST_003115,PROD_001236,TXN_00049447,3.7,"Chất lượng ổn, đúng như mô tả",2025-10-02 22:42:25
RATING_00000018,CUST_004891,PROD_001714,TXN_00031201,4.8,Rất hài lòng với sản phẩm này,2025-10-09 22:42:16
RATING_00000019,CUST_000208,PROD_000723,TXN_00000317,2.9,Giá không xứng đáng với chất lượng,2025-09-14 22:41:59
RATING_00000020,CUST_000559,PROD_000816,TXN_00040681,5.0,Chất lượng vượt mong đợi,2025-10-07 22:42:21
RATING_00000021,CUST_002506,PROD_001242,TXN_00048879,4.9,Rất hài lòng với sản phẩm này,2025-09-29 22:42:25
RATING_00000022,CUST_003528,PROD_001038,TXN_00037203,2.1,Giá không xứng đáng với chất lượng,2025-09-09 22:42:19
RATING_00000023,CUST_001763,PROD_000446,TXN_00000488,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-15 22:41:59
RATING_00000024,CUST_000487,PROD_000651,TXN_00000917,5.0,Rất hài lòng với sản phẩm này,2025-10-05 22:42:00
RATING_00000025,CUST_003213,PROD_000983,TXN_00000267,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-09-25 22:41:59
RATING_00000026,CUST_000677,PROD_000192,TXN_00019758,5.0,Rất hài lòng với sản phẩm này,2025-10-15 22:42:11
RATING_00000027,CUST_001283,PROD_000050,TXN_00029832,3.9,"Sản phẩm bình thường, có thể cân nhắc",2025-10-18 22:42:16
RATING_00000028,CUST_001029,PROD_001684,TXN_00020488,4.3,"Tạm được, có vài điểm cần cải thiện",2025-10-12 22:42:11
RATING_00000029,CUST_004890,PROD_001740,TXN_00033384,3.7,"Tạm được, có vài điểm cần cải thiện",2025-09-28 22:42:17
RATING_00000030,CUST_001419,PROD_001005,TXN_00009747,3.1,Không hài lòng với chất lượng,2025-09-07 22:42:05
RATING_00000031,CUST_004345,PROD_000768,TXN_00024753,5.0,Rất hài lòng với sản phẩm này,2025-09-21 22:42:13
RATING_00000032,CUST_002581,PROD_001814,TXN_00004638,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-09-07 22:42:02
RATING_00000033,CUST_004790,PROD_000490,TXN_00000798,3.3,Không hài lòng với chất lượng,2025-10-18 22:42:00
RATING_00000034,CUST_002381,PROD_000003,TXN_00021826,5.0,Chất lượng vượt mong đợi,2025-10-10 22:42:12
RATING_00000035,CUST_000140,PROD_001146,TXN_00003512,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-08-31 22:42:01
RATING_00000036,CUST_002315,PROD_000532,TXN_00002842,4.4,"Chất lượng ổn, đúng như mô tả",2025-09-09 22:42:01
RATING_00000037,CUST_001476,PROD_000067,TXN_00034324,4.0,"Tạm được, có vài điểm cần cải thiện",2025-10-09 22:42:18
RATING_00000038,CUST_000156,PROD_000881,TXN_00045446,3.4,Chất lượng không như mong đợi,2025-10-10 22:42:23
RATING_00000039,CUST_001580,PROD_001144,TXN_00012076,4.4,"Sản phẩm khá tốt, giá hợp lý",2025-09-25 22:42:07
RATING_00000040,CUST_002990,PROD_000902,TXN_00045510,4.4,"Tạm được, có vài điểm cần cải thiện",2025-09-05 22:42:23
RATING_00000041,CUST_004538,PROD_001889,TXN_00048049,4.8,"Đáng tiền, sẽ mua lại lần sau",2025-10-15 22:42:24
RATING_00000042,CUST_000877,PROD_000539,TXN_00009286,5.0,Chất lượng vượt mong đợi,2025-10-09 22:42:05
RATING_00000043,CUST_000183,PROD_001698,TXN_00008608,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-09-16 22:42:05
RATING_00000044,CUST_001455,PROD_000229,TXN_00018403,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-10-03 22:42:10
RATING_00000045,CUST_002107,PROD_000866,TXN_00006008,4.8,"Đáng tiền, sẽ mua lại lần sau",2025-09-22 22:42:03
RATING_00000046,CUST_003014,PROD_001139,TXN_00009254,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-09-06 22:42:05
RATING_00000047,CUST_004703,PROD_000609,TXN_00023027,4.9,"Đáng tiền, sẽ mua lại lần sau",2025-10-15 22:42:12
RATING_00000048,CUST_002572,PROD_000533,TXN_00004156,4.4,"Sản phẩm bình thường, có thể cân nhắc",2025-07-01 22:42:02
RATING_00000049,CUST_002251,PROD_000360,TXN_00042013,3.5,"Sản phẩm bình thường, có thể cân nhắc",2025-09-09 22:42:22
RATING_00000050,CUST_004129,PROD_000784,TXN_00000468,3.3,Giá không xứng đáng với chất lượng,2025-10-20 22:41:59
RATING_00000051,CUST_002244,PROD_000332,TXN_00039424,4.0,"Sản phẩm bình thường, có thể cân nhắc",2025-08-20 22:42:20
RATING_00000052,CUST_002622,PROD_000158,TXN_00031033,3.6,"Sản phẩm khá tốt, giá hợp lý",2025-08-21 22:42:16
RATING_00000053,CUST_002219,PROD_001678,TXN_00009817,4.1,"Chất lượng ổn, đúng như mô tả",2025-09-20 22:42:05
RATING_00000054,CUST_004432,PROD_001686,TXN_00042948,4.0,"Sản phẩm khá tốt, giá hợp lý",2025-09-03 22:42:22
RATING_00000055,CUST_004458,PROD_000637,TXN_00043955,2.7,Không hài lòng với chất lượng,2025-10-02 22:42:22
RATING_00000056,CUST_003992,PROD_000058,TXN_00009035,4.5,"Chất lượng ổn, đúng như mô tả",2025-08-14 22:42:05
RATING_00000057,CUST_003095,PROD_000677,TXN_00016865,4.9,Rất hài lòng với sản phẩm này,2025-10-05 22:42:09
RATING_00000058,CUST_002661,PROD_000704,TXN_00027737,3.2,Chất lượng không như mong đợi,2025-10-13 22:42:15
RATING_00000059,CUST_003307,PROD_001271,TXN_00034270,3.2,Không hài lòng với chất lượng,2025-10-09 22:42:18
RATING_00000060,CUST_004901,PROD_000833,TXN_00042649,5.0,Rất hài lòng với sản phẩm này,2025-08-07 22:42:22
RATING_00000061,CUST_003108,PROD_000173,TXN_00038250,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-10-14 22:42:20
RATING_00000062,CUST_001381,PROD_000645,TXN_00042954,3.5,Không hài lòng với chất lượng,2025-09-24 22:42:22
RATING_00000063,CUST_002279,PROD_000638,TXN_00001584,3.9,"Tạm được, có vài điểm cần cải thiện",2025-09-28 22:42:00
RATING_00000064,CUST_001430,PROD_000022,TXN_00003560,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-10-10 22:42:01
RATING_00000065,CUST_002355,PROD_000082,TXN_00014203,4.7,Rất hài lòng với sản phẩm này,2025-09-16 22:42:08
RATING_00000066,CUST_003061,PROD_001492,TXN_00041842,3.1,"Sản phẩm có vấn đề, cần cải thiện",2025-09-05 22:42:21
RATING_00000067,CUST_000919,PROD_001069,TXN_00012293,2.3,"Sản phẩm có vấn đề, cần cải thiện",2025-08-03 22:42:07
RATING_00000068,CUST_004923,PROD_001149,TXN_00034309,5.0,Rất hài lòng với sản phẩm này,2025-10-14 22:42:18
RATING_00000069,CUST_002405,PROD_001095,TXN_00010389,3.6,"Tạm được, có vài điểm cần cải thiện",2025-09-29 22:42:06
RATING_00000070,CUST_004074,PROD_000191,TXN_00026266,4.6,Rất hài lòng với sản phẩm này,2025-09-13 22:42:14
RATING_00000071,CUST_004882,PROD_000415,TXN_00027366,4.2,"Tạm được, có vài điểm cần cải thiện",2025-10-17 22:42:14
RATING_00000072,CUST_002750,PROD_001817,TXN_00028448,4.0,"Chất lượng ổn, đúng như mô tả",2025-10-10 22:42:15
RATING_00000073,CUST_001846,PROD_001288,TXN_00026113,3.7,"Sản phẩm bình thường, có thể cân nhắc",2025-10-18 22:42:14
RATING_00000074,CUST_004653,PROD_000633,TXN_00048402,4.5,"Tạm được, có vài điểm cần cải thiện",2025-09-02 22:42:25
RATING_00000075,CUST_000085,PROD_001750,TXN_00021564,4.5,"Sản phẩm bình thường, có thể cân nhắc",2025-08-27 22:42:12
RATING_00000076,CUST_004879,PROD_000989,TXN_00015569,4.2,"Sản phẩm bình thường, có thể cân nhắc",2025-08-27 22:42:08
RATING_00000077,CUST_002861,PROD_001831,TXN_00018433,3.2,Chất lượng không như mong đợi,2025-09-20 22:42:10
RATING_00000078,CUST_000859,PROD_000337,TXN_00038079,3.6,"Tạm được, có vài điểm cần cải thiện",2025-09-28 22:42:20
RATING_00000079,CUST_003862,PROD_001660,TXN_00006561,4.2,"Chất lượng ổn, đúng như mô tả",2025-08-11 22:42:03
RATING_00000080,CUST_001849,PROD_001087,TXN_00013383,4.5,"Chất lượng ổn, đúng như mô tả",2025-09-24 22:42:07
RATING_00000081,CUST_000642,PROD_001449,TXN_00014496,4.2,"Sản phẩm bình thường, có thể cân nhắc",2025-07-28 22:42:08
RATING_00000082,CUST_004603,PROD_000704,TXN_00047599,4.6,"Đáng tiền, sẽ mua lại lần sau",2025-08-28 22:42:24
RATING_00000083,CUST_002018,PROD_000756,TXN_00042746,4.8,Rất hài lòng với sản phẩm này,2025-09-21 22:42:22
RATING_00000084,CUST_004576,PROD_001313,TXN_00044086,3.7,"Tạm được, có vài điểm cần cải thiện",2025-09-01 22:42:23
RATING_00000085,CUST_001091,PROD_000278,TXN_00005631,3.2,Không hài lòng với chất lượng,2025-10-12 22:42:03
RATING_00000086,CUST_000707,PROD_001865,TXN_00046139,4.0,"Chất lượng ổn, đúng như mô tả",2025-10-05 22:42:23
RATING_00000087,CUST_004721,PROD_000545,TXN_00011697,5.0,Rất hài lòng với sản phẩm này,2025-10-19 22:42:06
RATING_00000088,CUST_001489,PROD_000645,TXN_00042955,3.8,"Chất lượng ổn, đúng như mô tả",2025-07-23 22:42:22
RATING_00000089,CUST_004421,PROD_001628,TXN_00002836,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-03 22:42:01
RATING_00000090,CUST_003637,PROD_001073,TXN_00032832,5.0,Chất lượng vượt mong đợi,2025-10-16 22:42:17
RATING_00000091,CUST_002964,PROD_000027,TXN_00031554,4.3,"Sản phẩm khá tốt, giá hợp lý",2025-10-11 22:42:17
RATING_00000092,CUST_003080,PROD_000306,TXN_00025604,3.3,Giá không xứng đáng với chất lượng,2025-10-14 22:42:14
RATING_00000093,CUST_004270,PROD_001113,TXN_00026871,3.6,"Sản phẩm khá tốt, giá hợp lý",2025-08-16 22:42:14
RATING_00000094,CUST_002426,PROD_001163,TXN_00005787,3.3,Không hài lòng với chất lượng,2025-10-05 22:42:03
RATING_00000095,CUST_000936,PROD_000651,TXN_00004954,4.2,"Chất lượng ổn, đúng như mô tả",2025-10-19 22:42:03
RATING_00000096,CUST_000349,PROD_000475,TXN_00039204,4.3,"Chất lượng ổn, đúng như mô tả",2025-10-03 22:42:20
RATING_00000097,CUST_004844,PROD_000622,TXN_00009697,3.6,"Tạm được, có vài điểm cần cải thiện",2025-10-15 22:42:05
RATING_00000098,CUST_004299,PROD_000790,TXN_00044964,4.6,Rất hài lòng với sản phẩm này,2025-10-19 22:42:23
RATING_00000099,CUST_000018,PROD_001399,TXN_00042755,3.1,Không hài lòng với chất lượng,2025-10-12 22:42:22
RATING_00000100,CUST_000153,PROD_001594,TXN_00042306,3.6,"Sản phẩm bình thường, có thể cân nhắc",2025-10-18 22:42:22
RATING_00000101,CUST_003204,PROD_001829,TXN_00045220,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-10-10 22:42:23
RATING_00000102,CUST_002099,PROD_000020,TXN_00049402,3.8,"Sản phẩm bình thường, có thể cân nhắc",2025-10-19 22:42:25
RATING_00000103,CUST_000307,PROD_001483,TXN_00003134,4.3,"Sản phẩm bình thường, có thể cân nhắc",2025-10-17 22:42:01
RATING_00000104,CUST_003669,PROD_000067,TXN_00041181,3.8,"Sản phẩm khá tốt, giá hợp lý",2025-10-15 22:42:21
RATING_00000105,CUST_000922,PROD_001081,TXN_00007923,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-10-08 22:42:04
RATING_00000106,CUST_001623,PROD_000031,TXN_00049432,4.6,"Sản phẩm tuyệt vời, chất lượng cao",2025-07-30 22:42:25
RATING_00000107,CUST_003411,PROD_000296,TXN_00004494,3.9,"Sản phẩm khá tốt, giá hợp lý",2025-09-23 22:42:02
RATING_00000108,CUST_003398,PROD_001249,TXN_00005734,3.6,"Sản phẩm bình thường, có thể cân nhắc",2025-10-17 22:42:03
RATING_00000109,CUST_003023,PROD_000483,TXN_00026949,3.4,Không hài lòng với chất lượng,2025-09-19 22:42:14
RATING_00000110,CUST_001311,PROD_000747,TXN_00005858,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-08 22:42:03
RATING_00000111,CUST_002426,PROD_000150,TXN_00026152,2.3,Không hài lòng với chất lượng,2025-09-26 22:42:14
RATING_00000112,CUST_002147,PROD_000242,TXN_00045718,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-09-05 22:42:23
RATING_00000113,CUST_001586,PROD_001482,TXN_00010506,2.9,Không hài lòng với chất lượng,2025-10-20 22:42:06
RATING_00000114,CUST_004420,PROD_001848,TXN_00031120,4.2,"Sản phẩm bình thường, có thể cân nhắc",2025-10-07 22:42:16
RATING_00000115,CUST_003423,PROD_001077,TXN_00010643,5.0,Rất hài lòng với sản phẩm này,2025-07-13 22:42:06
RATING_00000116,CUST_004173,PROD_000463,TXN_00001670,4.2,"Chất lượng ổn, đúng như mô tả",2025-09-19 22:42:00
RATING_00000117,CUST_002049,PROD_000953,TXN_00042182,4.0,"Sản phẩm khá tốt, giá hợp lý",2025-08-26 22:42:22
RATING_00000118,CUST_003730,PROD_000343,TXN_00000229,4.7,Rất hài lòng với sản phẩm này,2025-08-16 22:41:59
RATING_00000119,CUST_004395,PROD_001845,TXN_00039731,3.5,"Chất lượng ổn, đúng như mô tả",2025-08-22 22:42:20
RATING_00000120,CUST_003839,PROD_000648,TXN_00019938,4.6,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-07 22:42:11
RATING_00000121,CUST_002283,PROD_001504,TXN_00046741,2.9,Chất lượng không như mong đợi,2025-10-17 22:42:24
RATING_00000122,CUST_004834,PROD_000624,TXN_00010889,4.4,"Chất lượng ổn, đúng như mô tả",2025-08-11 22:42:06
RATING_00000123,CUST_003033,PROD_001582,TXN_00008806,4.6,"Sản phẩm tuyệt vời, chất lượng cao",2025-09-30 22:42:05
RATING_00000124,CUST_002121,PROD_000617,TXN_00046127,3.9,"Tạm được, có vài điểm cần cải thiện",2025-09-18 22:42:23
RATING_00000125,CUST_000918,PROD_001169,TXN_00000820,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-09-14 22:42:00
RATING_00000126,CUST_002193,PROD_000847,TXN_00047755,3.5,"Sản phẩm bình thường, có thể cân nhắc",2025-10-14 22:42:24
RATING_00000127,CUST_003893,PROD_000876,TXN_00017224,4.7,Chất lượng vượt mong đợi,2025-10-17 22:42:09
RATING_00000128,CUST_001832,PROD_000843,TXN_00029441,4.7,Chất lượng vượt mong đợi,2025-09-26 22:42:16
RATING_00000129,CUST_002328,PROD_000674,TXN_00033598,3.2,Chất lượng không như mong đợi,2025-09-22 22:42:18
RATING_00000130,CUST_002374,PROD_001217,TXN_00023275,5.0,"Đáng tiền, sẽ mua lại lần sau",2025-10-07 22:42:12
RATING_00000131,CUST_000647,PROD_000433,TXN_00014423,2.8,Không hài lòng với chất lượng,2025-09-19 22:42:08
RATING_00000132,CUST_003159,PROD_001033,TXN_00031659,4.7,Chất lượng vượt mong đợi,2025-08-04 22:42:17
RATING_00000133,CUST_004210,PROD_000080,TXN_00010001,4.8,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-01 22:42:05
RATING_00000134,CUST_000051,PROD_000370,TXN_00006394,2.9,Không hài lòng với chất lượng,2025-09-18 22:42:03
RATING_00000135,CUST_001635,PROD_001218,TXN_00035269,3.0,Giá không xứng đáng với chất lượng,2025-10-05 22:42:18
RATING_00000136,CUST_003903,PROD_000035,TXN_00026399,3.5,"Sản phẩm bình thường, có thể cân nhắc",2025-10-08 22:42:14
RATING_00000137,CUST_001007,PROD_000772,TXN_00028387,4.1,"Chất lượng ổn, đúng như mô tả",2025-10-15 22:42:15
RATING_00000138,CUST_000447,PROD_001544,TXN_00048459,4.5,"Sản phẩm bình thường, có thể cân nhắc",2025-08-08 22:42:25
RATING_00000139,CUST_001061,PROD_001086,TXN_00032487,4.4,"Chất lượng ổn, đúng như mô tả",2025-10-01 22:42:17
RATING_00000140,CUST_001060,PROD_001503,TXN_00010591,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-16 22:42:06
RATING_00000141,CUST_004798,PROD_001665,TXN_00023773,4.5,"Đáng tiền, sẽ mua lại lần sau",2025-10-11 22:42:13
RATING_00000142,CUST_000173,PROD_000624,TXN_00022439,4.4,"Sản phẩm khá tốt, giá hợp lý",2025-08-14 22:42:12
RATING_00000143,CUST_002782,PROD_001770,TXN_00045103,3.8,"Sản phẩm bình thường, có thể cân nhắc",2025-08-20 22:42:23
RATING_00000144,CUST_001135,PROD_001324,TXN_00033932,3.9,"Tạm được, có vài điểm cần cải thiện",2025-10-14 22:42:18
RATING_00000145,CUST_003232,PROD_001235,TXN_00039482,5.0,Chất lượng vượt mong đợi,2025-09-26 22:42:20
RATING_00000146,CUST_004650,PROD_001038,TXN_00045015,3.9,"Chất lượng ổn, đúng như mô tả",2025-10-07 22:42:23
RATING_00000147,CUST_004007,PROD_001226,TXN_00048974,2.9,Không hài lòng với chất lượng,2025-08-18 22:42:25
RATING_00000148,CUST_002677,PROD_001454,TXN_00023311,5.0,Rất hài lòng với sản phẩm này,2025-10-18 22:42:12
RATING_00000149,CUST_002525,PROD_001816,TXN_00019080,4.7,"Đáng tiền, sẽ mua lại lần sau",2025-10-06 22:42:10
RATING_00000150,CUST_000881,PROD_000725,TXN_00018524,3.9,"Tạm được, có vài điểm cần cải thiện",2025-09-24 22:42:10
RATING_00000151,CUST_000527,PROD_001693,TXN_00011636,4.6,Chất lượng vượt mong đợi,2025-09-18 22:42:06
RATING_00000152,CUST_003486,PROD_000160,TXN_00028978,4.4,"Sản phẩm bình thường, có thể cân nhắc",2025-10-14 22:42:15
RATING_00000153,CUST_003035,PROD_001398,TXN_00026095,3.4,Chất lượng không như mong đợi,2025-09-27 22:42:14
RATING_00000154,CUST_002736,PROD_000319,TXN_00047398,4.3,"Chất lượng ổn, đúng như mô tả",2025-10-12 22:42:24
RATING_00000155,CUST_001046,PROD_000470,TXN_00044302,3.4,Chất lượng không như mong đợi,2025-10-05 22:42:23
RATING_00000156,CUST_004663,PROD_000381,TXN_00043436,4.0,"Sản phẩm bình thường, có thể cân nhắc",2025-10-09 22:42:22
RATING_00000157,CUST_001937,PROD_001321,TXN_00006731,3.4,Giá không xứng đáng với chất lượng,2025-10-18 22:42:03
RATING_00000158,CUST_001745,PROD_000996,TXN_00014562,5.0,Chất lượng vượt mong đợi,2025-10-02 22:42:08
RATING_00000159,CUST_001865,PROD_000478,TXN_00029753,5.0,Chất lượng vượt mong đợi,2025-10-18 22:42:16
RATING_00000160,CUST_001135,PROD_000657,TXN_00026017,2.8,Giá không xứng đáng với chất lượng,2025-08-17 22:42:14
RATING_00000161,CUST_003762,PROD_000608,TXN_00029899,4.5,"Sản phẩm khá tốt, giá hợp lý",2025-09-27 22:42:16
RATING_00000162,CUST_003516,PROD_001176,TXN_00047264,4.7,"Sản phẩm tuyệt vời, chất lượng cao",2025-09-28 22:42:24
RATING_00000163,CUST_002163,PROD_000378,TXN_00006323,4.0,"Sản phẩm bình thường, có thể cân nhắc",2025-10-14 22:42:03
RATING_00000164,CUST_000194,PROD_001461,TXN_00010155,3.4,Giá không xứng đáng với chất lượng,2025-08-01 22:42:05
RATING_00000165,CUST_004356,PROD_000291,TXN_00046463,4.7,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-17 22:42:24
RATING_00000166,CUST_002208,PROD_001203,TXN_00000977,4.0,"Sản phẩm khá tốt, giá hợp lý",2025-07-04 22:42:00
RATING_00000167,CUST_002255,PROD_001507,TXN_00004324,5.0,Chất lượng vượt mong đợi,2025-10-09 22:42:02
RATING_00000168,CUST_004516,PROD_000133,TXN_00049973,4.1,"Sản phẩm khá tốt, giá hợp lý",2025-08-24 22:42:25
RATING_00000169,CUST_000973,PROD_000432,TXN_00010836,4.6,Rất hài lòng với sản phẩm này,2025-07-20 22:42:06
RATING_00000170,CUST_001955,PROD_000263,TXN_00048732,4.9,Chất lượng vượt mong đợi,2025-10-01 22:42:25
RATING_00000171,CUST_003479,PROD_001096,TXN_00014413,5.0,"Sản phẩm tuyệt vời, chất lượng cao",2025-10-15 22:42:08
RATING_00000172,CUST_001400,PROD_000975,TXN_00018767,5.0,Rất hài lòng với sản phẩm này,2025-10-17 22:42:10
RATING_00000173,CUST_002020,PROD_000417,TXN_00000195,3.9,"Sản phẩm bình thường, có thể cân nhắc",2025-09-09 22:41:59
RATING_00000174,CUST_001989,PROD_000701,TXN_00003555,3.9,"Sản phẩm bình thường, có thể cân nhắc",2025-08-28 22:42:01
RATING_00000175,CUST_001278,PROD_001809,TXN_00019696,3.9,"Sản phẩm bình thường, có thể cân nhắc",2025-10-20 22:42:11
RATING_00000176,CUST_004010,PROD_000770,TXN_00046904,3.6,"Sản phẩm khá tốt, giá hợp lý",2025-05-30 22:42:24
RATING_00000177,CUST_002492,PROD_000665,TXN_00036398,4.7,"Sản phẩm tuyệt vời, chất lượng cao",2025-08-28 22:42:19
RATING_00000178,CUST_001369,PROD_001200,TXN_00034533,4.4,"Tạm được, có vài điểm cần cải thiện",2025-08-20 22:42:18
RATING_00000179,CUST_004217,PROD_000324,TXN_00008148,3.9,"Tạm được, có vài điểm cần cải thiện",2025-10-16 22:42:04
RATING_00000180,CUST_001517,PROD_000546,TXN_00039592,4.1,"Tạm được, có vài điểm cần cải thiện",2025-09-30 22:42:20
RATING_00000181,CUST_004134,PROD_001711,TXN_00012588,4.1,"Sản phẩm khá tốt, giá hợp lý",2025-06-11 22:42:07
RATING_00000182,CUST_003110,PROD_001369,TXN_00041990,2.2,Chất lượng không như mong đợi,2025-10-11 22:42:22
RATING_00000183,CUST_004383,PROD_000882,TXN_00013378,4.1,"Chất lượng ổn, đúng như mô tả",2025-09-15 22:42:07
